Date,StationID,Lat,Long,Elevation,SD,SWE
1981-01-28,50M01,61.75,-150.89,160,18,4.0
1981-02-28,50M01,61.75,-150.89,160,32,6.4
1981-04-28,50M01,61.75,-150.89,160,16,5.0
1981-03-31,50M01,61.75,-150.89,160,25,7.0
1982-01-26,50M01,61.75,-150.89,160,24,6.0
1982-03-01,50M01,61.75,-150.89,160,27,6.2
1982-04-28,50M01,61.75,-150.89,160,20,6.4
1982-03-26,50M01,61.75,-150.89,160,27,6.2
1983-01-28,50M01,61.75,-150.89,160,29,6.9
1983-02-24,50M01,61.75,-150.89,160,34,8.2
1983-04-27,50M01,61.75,-150.89,160,27,8.1
1983-03-29,50M01,61.75,-150.89,160,32,8.6
1984-01-27,50M01,61.75,-150.89,160,32,7.5
1984-02-28,50M01,61.75,-150.89,160,46,11.0
1984-04-25,50M01,61.75,-150.89,160,38,11.6
1984-03-28,50M01,61.75,-150.89,160,40,11.4
1985-01-28,50M01,61.75,-150.89,160,43,10.3
1985-03-04,50M01,61.75,-150.89,160,59,13.2
1985-05-01,50M01,61.75,-150.89,160,50,15.5
1985-03-25,50M01,61.75,-150.89,160,72,17.3
1986-01-27,50M01,61.75,-150.89,160,16,2.9
1986-02-27,50M01,61.75,-150.89,160,22,5.7
1986-03-31,50M01,61.75,-150.89,160,21,4.9
1987-01-27,50M01,61.75,-150.89,160,48,11.7
1987-02-27,50M01,61.75,-150.89,160,54,14.6
1987-04-27,50M01,61.75,-150.89,160,29,12.0
1987-03-30,50M01,61.75,-150.89,160,46,14.9
1988-01-26,50M01,61.75,-150.89,160,34,9.2
1988-03-01,50M01,61.75,-150.89,160,50,14.0
1988-04-27,50M01,61.75,-150.89,160,27,10.5
1988-03-28,50M01,61.75,-150.89,160,44,14.0
1989-02-02,50M01,61.75,-150.89,160,41,9.8
1989-02-26,50M01,61.75,-150.89,160,48,11.1
1989-04-27,50M01,61.75,-150.89,160,18,7.2
1989-03-29,50M01,61.75,-150.89,160,46,12.6
1990-01-29,50M01,61.75,-150.89,160,67,17.4
1990-05-01,50M01,61.75,-150.89,160,88,21.5
1990-04-26,50M01,61.75,-150.89,160,51,19.4
1990-03-26,50M01,61.75,-150.89,160,77,24.2
1991-01-29,50M01,61.75,-150.89,160,38,8.9
1991-02-28,50M01,61.75,-150.89,160,46,11.5
1991-04-29,50M01,61.75,-150.89,160,32,10.6
1991-03-30,50M01,61.75,-150.89,160,59,15.3
1992-01-29,50M01,61.75,-150.89,160,49,12.7
1992-05-01,50M01,61.75,-150.89,160,49,12.7
1992-03-30,50M01,61.75,-150.89,160,50,17.2
1992-12-27,50M01,61.75,-150.89,160,25,5.2
1993-01-28,50M01,61.75,-150.89,160,49,10.3
1993-03-01,50M01,61.75,-150.89,160,49,12.3
1993-03-29,50M01,61.75,-150.89,160,49,14.7
1994-01-26,50M01,61.75,-150.89,160,43,10.3
1994-05-01,50M01,61.75,-150.89,160,41,11.3
1994-03-28,50M01,61.75,-150.89,160,58,15.5
1995-02-02,50M01,61.75,-150.89,160,47,13.6
1995-03-01,50M01,61.75,-150.89,160,53,15.6
1995-03-30,50M01,61.75,-150.89,160,55,16.5
1996-02-01,50M01,61.75,-150.89,160,12,2.0
1996-02-27,50M01,61.75,-150.89,160,36,5.6
1996-03-27,50M01,61.75,-150.89,160,27,6.2
1997-01-31,50M01,61.75,-150.89,160,35,6.9
1997-02-28,50M01,61.75,-150.89,160,34,8.7
1997-04-02,50M01,61.75,-150.89,160,38,9.1
1998-01-27,50M01,61.75,-150.89,160,32,8.0
1998-03-01,50M01,61.75,-150.89,160,32,8.3
1998-03-30,50M01,61.75,-150.89,160,31,9.0
1999-01-27,50M01,61.75,-150.89,160,42,7.5
1999-02-25,50M01,61.75,-150.89,160,40,8.0
1999-03-29,50M01,61.75,-150.89,160,36,9.2
2000-02-01,50M01,61.75,-150.89,160,50,10.5
2000-02-28,50M01,61.75,-150.89,160,50,14.0
2000-03-31,50M01,61.75,-150.89,160,49,14.7
