,StationID,Elev,Lat,Lon,Class
0,50M01,160,61.75,-150.89,Mountain Forest
1,50M01S,160,61.75,-150.89,Mountain Forest
2,41P07S,1050,64.79,-141.23,Boreal Forest
3,51K05S,1653,59.86,-151.32,Mountain Forest
4,49M22S,2080,61.11,-149.67,Boreal Forest
5,59M02,80,61.58,-159.58,Boreal Forest
6,49M25,2200,61.79,-149.2,Tundra
7,49M05,3000,61.25,-149.52,Tundra
8,49M01,500,61.23,-149.64,Mountain Forest
9,49M02,1000,61.23,-149.61,Mountain Forest
10,49M03,1450,61.23,-149.58,Tundra
11,49M04,2030,61.24,-149.56,Tundra
12,50LL24,2516,60.19,-150.53,Tundra
13,50LL21,3090,60.31,-150.27,Tundra
14,49L02,950,60.76,-149.24,Maritime
15,51R01S,640,66.92,-151.53,Boreal Forest
16,49M28,4020,61.8,-149.3,Tundra
17,49N07,1200,62.8,-149.98,Boreal Forest
18,48P01,1150,64.74,-148.32,Boreal Forest
19,50R03,1200,66.69,-150.66,Tundra
20,47Q07,1330,65.38,-147.74,Tundra
21,41P03,3500,64.14,-141.34,Boreal Forest
22,51K01,1300,59.69,-151.47,Maritime
23,59O04,100,63.81,-159.17,Boreal Forest
24,47Q03,1250,65.16,-147.59,Boreal Forest
25,45P02,1150,64.68,-145.72,Boreal Forest
26,47Q04,900,65.15,-147.56,Boreal Forest
27,42Q02,1800,65.17,-141.14,Boreal Forest
28,51N01,1450,62.46,-151.46,Tundra
29,41P02,1650,64.07,-141.95,Boreal Forest
30,42N01,3320,62.07,-142.05,Boreal Forest
31,42N01S,3320,62.07,-142.05,Boreal Forest
32,44N01,1950,62.61,-144.63,Boreal Forest
33,43M01,1550,61.46,-143.83,Boreal Forest
34,44Q05,860,65.48,-144.63,Boreal Forest
35,46N01,2650,62.93,-146.96,Boreal Forest
36,47Q01,2230,65.05,-147.43,Boreal Forest
37,57Q02,170,65.46,-157.06,Boreal Forest
38,43Q02,1000,65.31,-143.16,Boreal Forest
39,50S01,1040,67.25,-150.18,Boreal Forest
40,50S01S,1040,67.25,-150.18,Boreal Forest
41,46P04,700,64.9,-146.62,Boreal Forest
42,57Q03,170,65.57,-157.26,Boreal Forest
43,51M03,550,61.08,-151.44,Mountain Forest
44,49L10S,1200,60.39,-149.69,Maritime
