StationID,Elev,Lat,Lon,Class
50M01,160,61.75,-150.89,6
50M01S,160,61.75,-150.89,6
41P07S,1050,64.79,-141.23,2
51K05S,1653,59.86,-151.32,6
49M22S,2080,61.11,-149.67,2
59M02,80,61.58,-159.58,2
49M25,2200,61.79,-149.2,1
49M05,3000,61.25,-149.52,1
49M01,500,61.23,-149.64,6
49M02,1000,61.23,-149.61,6
49M03,1450,61.23,-149.58,1
49M04,2030,61.24,-149.56,1
50LL24,2516,60.19,-150.53,1
50LL21,3090,60.31,-150.27,1
49L02,950,60.76,-149.24,3
51R01S,640,66.92,-151.53,2
49M28,4020,61.8,-149.3,1
49N07,1200,62.8,-149.98,2
48P01,1150,64.74,-148.32,2
50R03,1200,66.69,-150.66,1
47Q07,1330,65.38,-147.74,1
41P03,3500,64.14,-141.34,2
51K01,1300,59.69,-151.47,3
59O04,100,63.81,-159.17,2
47Q03,1250,65.16,-147.59,2
45P02,1150,64.68,-145.72,2
47Q04,900,65.15,-147.56,2
42Q02,1800,65.17,-141.14,2
51N01,1450,62.46,-151.46,1
41P02,1650,64.07,-141.95,2
42N01,3320,62.07,-142.05,2
42N01S,3320,62.07,-142.05,2
44N01,1950,62.61,-144.63,2
43M01,1550,61.46,-143.83,2
44Q05,860,65.48,-144.63,2
46N01,2650,62.93,-146.96,2
47Q01,2230,65.05,-147.43,2
57Q02,170,65.46,-157.06,2
43Q02,1000,65.31,-143.16,2
50S01,1040,67.25,-150.18,2
50S01S,1040,67.25,-150.18,2
46P04,700,64.9,-146.62,2
57Q03,170,65.57,-157.26,2
51M03,550,61.08,-151.44,6
49L10S,1200,60.39,-149.69,3
45N04,1264,62.02,-145.36,2
43P01,2000,64.87,-143.4,1
43P02,2600,64.85,-143.94,1
34J02,1650,58.27,-134.53,3
46N05,2850,62.3,-146.99,2
51KK17,1860,59.97,-151.01,1
44M01,2160,61.85,-144.8,2
55P01,195,64.83,-155.11,2
51K03,780,59.66,-151.65,3
50N06,700,62.6,-150.23,2
49S01,1550,67.7,-149.72,2
49O02,2700,63.27,-149.54,1
50N03,3100,62.61,-150.86,1
49O01,1770,63.14,-149.43,2
34J03,1200,58.28,-134.53,3
51K06,1400,59.83,-151.13,3
51R06,430,66.45,-151.7,2
49L18,400,60.19,-149.62,3
49L18S,400,60.19,-149.62,3
46Q06,1750,65.3,-146.36,2
45O01,3000,63.2,-145.63,1
45O01S,3000,63.2,-145.63,1
34J04,500,58.31,-134.56,3
49M10,3300,61.78,-149.27,1
54L02,1800,60.49,-154.33,2
48N02,2120,62.79,-148.46,2
45O05,1500,63.94,-145.77,1
45R01,430,66.58,-145.2,2
47Q10,1400,65.46,-147.61,1
50KK09,1214,59.92,-150.76,3
46P02,1800,64.58,-146.76,2
56P01,128,64.75,-156.82,2
44O02,1200,63.9,-144.92,2
49L09S,1100,60.61,-149.06,3
45O04S,1240,63.94,-145.4,1
51M02,250,61.02,-151.45,6
43S03,600,67.09,-143.41,2
49L14S,700,60.26,-149.34,3
45N01,2540,62.69,-145.45,2
49Q02,1000,65.77,-149.39,2
47N02,4300,62.13,-147.63,1
54Q02,290,65.86,-154.51,2
49M26,3550,61.79,-149.28,1
49M26S,3550,61.79,-149.28,1
49M08S,2350,61.07,-149.48,1
32H04,1350,56.43,-132.31,3
41PP8S,3585,64.15,-141.33,2
41N01,2180,62.62,-141.97,2
50L01,620,60.52,-150.18,6
57Q01,160,65.05,-157.3,2
51R02,750,66.54,-151.28,1
50O01,1550,63.54,-150.99,1
52R02,670,66.44,-152.2,2
52R04,550,66.14,-152.13,2
62S01S,310,67.93,-162.28,1
50L02S,300,60.73,-150.48,6
49L03,1390,60.67,-149.48,3
45M05,1300,61.73,-145.01,2
50M04,250,61.16,-150.04,6
31G09,1900,55.67,-131.1,3
46N02,2400,62.27,-146.52,2
52O01,730,63.89,-152.3,2
52R01,550,66.17,-152.94,2
46Q05,1100,65.1,-146.71,2
46Q02,2000,65.12,-146.73,2
46Q02S,2000,65.12,-146.73,2
53P01,855,64.73,-153.09,2
46M06,2650,61.98,-147.0,2
49M24,1700,61.77,-149.21,1
51M07,1675,61.24,-151.47,1
44M03,4820,61.82,-144.08,1
33J01S,850,58.19,-133.83,3
41P05,2150,64.06,-141.92,2
43N02,3030,62.51,-143.17,2
45M03,600,61.11,-145.82,3
46R02,400,66.27,-146.51,2
54P01,205,64.7,-154.54,2
42M01S,1610,61.35,-142.71,2
55N01,340,62.95,-155.61,1
51K14S,1320,59.74,-151.25,3
43N01,2430,62.9,-143.67,2
58O02,150,63.3,-158.49,1
51R03,580,66.58,-151.64,2
31G05,1900,55.63,-131.22,3
47O01,2710,63.31,-147.65,2
46N03,3100,62.83,-146.63,1
45Q02,1850,65.08,-145.87,1
45Q02S,1850,65.08,-145.87,1
35K02,2250,59.59,-135.19,1
49L04,700,60.52,-149.49,1
48M04S,2100,61.38,-149.0,1
35K05,2540,59.26,-135.49,3
49L01S,1540,60.96,-149.09,3
45L01S,1405,60.55,-145.75,3
42O01,3100,63.71,-142.27,2
46Q01,2800,65.25,-146.15,2
46Q01S,2800,65.25,-146.15,2
46P01,3100,64.85,-146.21,2
46P01S,3100,64.85,-146.21,2
58P02,140,64.62,-158.24,2
52R03,560,66.25,-152.37,2
41M01,2643,61.01,-141.53,1
50N01,2010,62.52,-150.94,1
50K06,1250,59.7,-150.71,3
41N02,2200,62.8,-141.29,2
63P02,100,64.99,-163.1,2
49L05,1200,60.77,-149.69,6
45O11,2650,63.02,-145.49,2
32H01,550,56.78,-132.92,3
32H03,1650,56.78,-132.94,3
58P01,130,64.39,-158.01,2
54L01,270,60.19,-154.33,6
51K15S,300,59.35,-151.85,3
48L04,50,60.78,-148.87,3
45Q03,2270,65.43,-145.55,1
52N01,2025,62.94,-152.26,2
33H05,500,56.42,-132.33,3
50N04,2220,62.62,-150.81,1
49L07,2250,60.68,-149.75,1
